u,v,key,osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,Cost of returning,Edge Betweenness,ref,width,bridge,access,tunnel,junction
20246112,29276695,0,"[1171049218, 909409602, 909402340, 4686100, 4686102, 4686103]",True,1,"['Oberbaumstraße', 'Oberbaumbrücke', 'Am Oberbaum']",secondary,"['50', '30']",False,213.057,"LINESTRING (13.4465904 52.5026911, 13.4465363 52.5026446, 13.4464992 52.5026081, 13.4464732 52.5025785, 13.446423 52.5025034, 13.44635 52.5023942, 13.4462612 52.5023054, 13.4449051 52.5012365, 13.4448739 52.5012119, 13.4448349 52.5011798, 13.4447775 52.5011334)",14.65070178766092,0.03293025506386678,,,yes,,,
20246123,28150389,0,"[1145133922, 1145133923, 4068142]",False,,Kinzigstraße,residential,30,False,220.91699999999997,"LINESTRING (13.4656377 52.5128302, 13.4655831 52.5127612, 13.4655664 52.5127401, 13.4654217 52.5125863, 13.4653966 52.5125597, 13.4653046 52.5124618, 13.4652703 52.5124254, 13.4651968 52.5123473, 13.4651311 52.5122775, 13.4650769 52.5122199, 13.4649329 52.5120669, 13.4648862 52.5120173, 13.4648359 52.5119638, 13.4644857 52.5115916, 13.4640657 52.5111498, 13.4640222 52.5111041)",1.6347854281496281,0.0007320821329844669,,"['8', '8.9', '9']",,,,
20246123,20246125,0,"[1124139057, 1051634661]",False,,Scharnweberstraße,residential,30,False,92.863,"LINESTRING (13.4656377 52.5128302, 13.4657465 52.5128194, 13.4659154 52.5128027, 13.4662621 52.5127684, 13.466858 52.5127039, 13.4669903 52.5126895)",1.81470952042593,0.00023327464131410388,,7,,,,
20246123,1410036215,0,"[1145133960, 1124139057, 1124139058]",False,,Scharnweberstraße,residential,30,True,117.255,"LINESTRING (13.4656377 52.5128302, 13.4655231 52.5128418, 13.4654554 52.5128487, 13.4641675 52.5129904, 13.4640291 52.5130056, 13.4639322 52.5130163)",1.6700276568432988,0.0004434010307692538,,9.5,,,,
20246123,20246250,0,"[1083558776, 1124139097, 506581476]",False,,Kinzigstraße,residential,30,True,190.61700000000002,"LINESTRING (13.4656377 52.5128302, 13.4656627 52.512919, 13.4656838 52.5129939, 13.4656872 52.5130269, 13.4657272 52.5131344, 13.4657465 52.513167, 13.465786 52.5132626, 13.465858 52.5135041, 13.4658707 52.5135454, 13.4659353 52.5137626, 13.4659577 52.5138377, 13.4660669 52.514205, 13.4660609 52.5142597, 13.4661021 52.5143982, 13.4661081 52.5144199, 13.4661259 52.5144776, 13.4661368 52.5145146)",1.5256624902927265,5.7870629647384924e-05,,"['5.8', '5.6', '9']",,,,
20246125,20246248,0,"[1144043329, 1145133905, 1145133906, 563494116]",False,3,Jungstraße,residential,30,False,190.68200000000002,"LINESTRING (13.4669903 52.5126895, 13.4670145 52.5127749, 13.467141 52.5132207, 13.4671838 52.5133715, 13.4673249 52.5138686, 13.4673578 52.5139847, 13.4673953 52.5141171, 13.4674263 52.5142262, 13.4674385 52.5142705, 13.4674457 52.5142949, 13.4674541 52.5143294, 13.4674671 52.5143796)",1.673836418997786,0.002370679677477647,,"['10', '9', '10.1']",,,,
20246125,1411289036,0,1051634661,False,,Scharnweberstraße,residential,30,False,101.017,"LINESTRING (13.4669903 52.5126895, 13.4670966 52.5126799, 13.4679344 52.5125944, 13.4683378 52.5125532, 13.468463 52.5125412)",1.711625298867974,0.0016624178423738458,,7,,,,
20246125,20246123,0,"[1124139057, 1051634661]",False,,Scharnweberstraße,residential,30,True,92.86299999999999,"LINESTRING (13.4669903 52.5126895, 13.466858 52.5127039, 13.4662621 52.5127684, 13.4659154 52.5128027, 13.4657465 52.5128194, 13.4656377 52.5128302)",1.8147095204259285,0.0001729398429204432,,7,,,,
20246125,4316151697,0,"[1145133904, 1083743090, 1051639965]",False,,Jungstraße,residential,30,True,108.287,"LINESTRING (13.4669903 52.5126895, 13.4669633 52.51262, 13.4669528 52.5126038, 13.4665085 52.5121459, 13.4664786 52.5121343, 13.4663116 52.511963, 13.466287 52.5118997, 13.4662475 52.5118367)",1.6764388926270188,0.0019950806231210714,,11,,,,
20246126,20246128,0,"[1124199518, 146693079]",False,,Müggelstraße,residential,30,True,150.96399999999997,"LINESTRING (13.4712092 52.5122871, 13.4712402 52.5123723, 13.4712439 52.5123839, 13.4714327 52.5129882, 13.4715926 52.5135166, 13.4715973 52.5135321, 13.4716242 52.513621)",1.5225571027475389,0.000273224043715847,,5.5,,,,
20246126,1563525687,0,"[1315575226, 146693475]",True,,Müggelstraße,residential,30,False,134.847,"LINESTRING (13.4712092 52.5122871, 13.4711539 52.5122122, 13.4711331 52.512187, 13.4708676 52.5119399, 13.4706145 52.5117044, 13.4703072 52.5114183, 13.4702172 52.5113346, 13.4701756 52.5113174, 13.4700999 52.5112906)",4.7864236574509995,0.0001876501836179075,,,,,,
