u,v,key,osmid,oneway,lanes,name,highway,maxspeed,reversed,length,Cost of returning,Edge Betweenness,geometry,access,junction,ref,width,est_width,tunnel,bridge,service
26198833,26198831,0,"[545715324, 316582574]",True,5,Gran Via de les Corts Catalanes,primary,50,False,134.584,8.833032648030004,0.031074967267224942,"LINESTRING (2.1551756 41.3795841, 2.155344 41.3797103, 2.1558928 41.3801225, 2.1559073 41.3801324, 2.1561336 41.3802957, 2.1561834 41.3803317, 2.1563247 41.3804334)",,,C-31,12,,,,
26198833,30246781,0,918438451,True,2,Carrer de Calàbria,residential,30,False,148.27,5.05710074763267,0.0029418911748933883,"LINESTRING (2.1551756 41.3795841, 2.1550899 41.3796515, 2.155067 41.3796691, 2.1550344 41.3796939, 2.155021 41.3797041, 2.1549283 41.3797743, 2.1546896 41.3799545, 2.1544744 41.380117, 2.1541598 41.3803546, 2.1541411 41.3803687, 2.1539255 41.3805318)",,,,,,,,
26198844,2510589068,0,"[244057616, 545715325]",True,5,Gran Via de les Corts Catalanes,primary,50,False,134.72299999999998,8.735153250316536,0.03176252948268945,"LINESTRING (2.1529147 41.3778725, 2.1530654 41.3779875, 2.1537072 41.378476, 2.1537135 41.3784808, 2.1539294 41.378639, 2.1540544 41.3787307)",,,C-31,18,,,,
26198844,30243042,0,"[907252500, 532436406]",True,3,Carrer d'Entença,secondary,50,False,148.755,5.130603633954238,0.009219085275804392,"LINESTRING (2.1529147 41.3778725, 2.1528113 41.3779467, 2.1527879 41.3779634, 2.1527621 41.3779819, 2.1527453 41.377994, 2.1526586 41.3780597, 2.1523595 41.3782848, 2.1521716 41.3784264, 2.1518614 41.3786601, 2.1516527 41.3788174)",,,,"['8', '12']",,,,
30227025,30227032,0,295215797,True,,Carrer Nou de la Rambla,tertiary,30,False,62.216,17.910800660209826,0.00033875619835456124,"LINESTRING (2.1733456 41.3782059, 2.1729507 41.3778132, 2.1728957 41.3777597)",,,,,,,,
30227032,30227052,0,295215797,True,,Carrer Nou de la Rambla,tertiary,30,False,50.370999999999995,17.755787311040613,0.00033875619835456124,"LINESTRING (2.1728957 41.3777597, 2.1725506 41.3774462, 2.1725123 41.3774098)",,,,,,,,
30227035,30227468,0,"[295215802, 295215803, 241868444]",True,1,Carrer de l'Hospital,tertiary,10,False,101.07000000000001,20.40521647568734,0.0033374675023649285,"LINESTRING (2.1708255 41.3805733, 2.1707788 41.3805587, 2.1704212 41.3804469, 2.1701952 41.3803787, 2.1701498 41.380365, 2.1701137 41.3803544, 2.1697637 41.3802516, 2.169702 41.3802335)",,,,,,,,
30227040,8246157430,0,"[1117840336, 1117840340]",False,,Carrer de Sant Pau,living_street,10,True,155.919,1.2266232265109176,0.00016051364365971107,"LINESTRING (2.1726234 41.3797053, 2.172772 41.3799207, 2.1728501 41.3800371, 2.1730099 41.3803757, 2.1730459 41.3804816, 2.1732088 41.3808812, 2.1732289 41.3809305, 2.1732407 41.380964, 2.1732492 41.3810204)",,,,,,,,
30227050,30227070,0,"[4743368, 10427092]",True,,"['Carrer del Marquès de Barberà', 'Carrer de la Unió']",residential,30,False,315.40299999999996,20.274099368987727,0.006794630922983085,"LINESTRING (2.1717029 41.3778764, 2.1717207 41.3778936, 2.1728352 41.3789671, 2.1732829 41.379414, 2.1735882 41.3797013, 2.1739569 41.3800435, 2.1739785 41.3800635, 2.1740277 41.3801128)",,,,,,,,
30227050,30227052,0,18618300,True,,Carrer de Sant Ramon,living_street,20,False,85.16300000000001,7.417898594272367,0.00024377252673316212,"LINESTRING (2.1717029 41.3778764, 2.1717548 41.3778465, 2.1720621 41.3776693, 2.172465 41.3774368, 2.1725123 41.3774098)",,,,,,,,
