osmid,y,x,highway,street_count,geometry
213609153,-34.6145775,-58.452172,,4,POINT (-58.452172 -34.6145775)
213951393,-34.6094353,-58.4456325,,3,POINT (-58.4456325 -34.6094353)
213951409,-34.6116039,-58.4447579,,3,POINT (-58.4447579 -34.6116039)
213951428,-34.6105461,-58.4451804,,4,POINT (-58.4451804 -34.6105461)
213951441,-34.611443,-58.4443582,,3,POINT (-58.4443582 -34.611443)
213951462,-34.6092767,-58.4452154,,3,POINT (-58.4452154 -34.6092767)
213951479,-34.6103945,-58.4447752,,4,POINT (-58.4447752 -34.6103945)
214922497,-34.607483,-58.370821,,3,POINT (-58.370821 -34.607483)
214999513,-34.6256256,-58.4540149,traffic_signals,4,POINT (-58.4540149 -34.6256256)
214999600,-34.6256032,-58.4574367,traffic_signals,4,POINT (-58.4574367 -34.6256032)
214999617,-34.6250806,-58.4561182,traffic_signals,4,POINT (-58.4561182 -34.6250806)
214999629,-34.624476,-58.4545695,traffic_signals,4,POINT (-58.4545695 -34.624476)
214999648,-34.6238543,-58.4468852,,3,POINT (-58.4468852 -34.6238543)
214999671,-34.6244688,-58.4482588,,4,POINT (-58.4482588 -34.6244688)
214999712,-34.6267764,-58.4534212,traffic_signals,4,POINT (-58.4534212 -34.6267764)
214999734,-34.623043,-58.4575651,,4,POINT (-58.4575651 -34.623043)
214999751,-34.6228333,-58.4569952,,4,POINT (-58.4569952 -34.6228333)
214999775,-34.6223339,-58.4555554,traffic_signals,4,POINT (-58.4555554 -34.6223339)
214999795,-34.621624,-58.4534317,,4,POINT (-58.4534317 -34.621624)
214999827,-34.6240933,-58.4568135,,4,POINT (-58.4568135 -34.6240933)
214999843,-34.6238899,-58.4562705,,4,POINT (-58.4562705 -34.6238899)
214999863,-34.6234605,-58.4550408,,4,POINT (-58.4550408 -34.6234605)
214999878,-34.6220056,-58.4532458,,1,POINT (-58.4532458 -34.6220056)
214999893,-34.6219742,-58.4544993,,4,POINT (-58.4544993 -34.6219742)
214999907,-34.6223971,-58.4542979,,1,POINT (-58.4542979 -34.6223971)
215014609,-34.6285337,-58.4525678,traffic_signals,4,POINT (-58.4525678 -34.6285337)
215014629,-34.6304462,-58.4549315,traffic_signals,4,POINT (-58.4549315 -34.6304462)
215014647,-34.631494,-58.4582191,,4,POINT (-58.4582191 -34.631494)
215014672,-34.6281175,-58.4560451,traffic_signals,4,POINT (-58.4560451 -34.6281175)
215014693,-34.6284742,-58.4571323,,4,POINT (-58.4571323 -34.6284742)
215014741,-34.6361807,-58.4546387,,4,POINT (-58.4546387 -34.6361807)
215014760,-34.6321864,-58.4565551,traffic_signals,4,POINT (-58.4565551 -34.6321864)
215014784,-34.6311226,-58.4570839,,4,POINT (-58.4570839 -34.6311226)
215014800,-34.6288196,-58.4582147,traffic_signals,4,POINT (-58.4582147 -34.6288196)
215014978,-34.628632,-58.454061,traffic_signals,4,POINT (-58.454061 -34.628632)
215014999,-34.628872,-58.4540858,traffic_signals,4,POINT (-58.4540858 -34.628872)
215015020,-34.630048,-58.4537361,,4,POINT (-58.4537361 -34.630048)
215015039,-34.6311382,-58.453237,traffic_signals,4,POINT (-58.453237 -34.6311382)
215015056,-34.6368825,-58.4504355,traffic_signals,4,POINT (-58.4504355 -34.6368825)
215015132,-34.629997,-58.4576329,traffic_signals,4,POINT (-58.4576329 -34.629997)
215015152,-34.6296533,-58.4565467,traffic_signals,4,POINT (-58.4565467 -34.6296533)
215015189,-34.6316769,-58.4475406,,4,POINT (-58.4475406 -34.6316769)
215015202,-34.6289566,-58.4488322,,4,POINT (-58.4488322 -34.6289566)
215015209,-34.6279637,-58.4493379,,4,POINT (-58.4493379 -34.6279637)
215015227,-34.6264617,-58.4500386,,3,POINT (-58.4500386 -34.6264617)
215015245,-34.6323392,-58.4496601,,3,POINT (-58.4496601 -34.6323392)
215015255,-34.6304742,-58.4505228,traffic_signals,4,POINT (-58.4505228 -34.6304742)
215015266,-34.629349,-58.4510409,,4,POINT (-58.4510409 -34.629349)
215015281,-34.6283545,-58.4514996,,3,POINT (-58.4514996 -34.6283545)
215015291,-34.6306604,-58.4480042,,3,POINT (-58.4480042 -34.6306604)
215015322,-34.633634,-58.457219,,4,POINT (-58.457219 -34.633634)
215015331,-34.6332586,-58.4560361,,4,POINT (-58.4560361 -34.6332586)
215015343,-34.6328896,-58.4549789,,4,POINT (-58.4549789 -34.6328896)
215015349,-34.6325322,-58.4538695,traffic_signals,4,POINT (-58.4538695 -34.6325322)
215015350,-34.6321778,-58.4527502,,4,POINT (-58.4527502 -34.6321778)
