u,v,key,osmid,highway,lanes,maxspeed,name,oneway,reversed,length,Inverse SP,Cost of return,Edge Betweenness,geometry,ref,bridge,junction,width,tunnel,access,Groups
83539774,83647512,0,683763229,residential,,20 mph,I Street,False,True,172.0366093568926,172.0366093568926,1.8973250977217555,0.0002935722870572845,"LINESTRING (-111.8715453 40.7856707, -111.8715586 40.7853459, -111.8715625 40.784218, -111.8715628 40.7841237)",,,,,,,C
83539921,83574719,0,10131205,residential,2,20 mph,Redbrick Court,False,False,24.619406225044386,24.619406225044386,1.244574835142776,0.00029638411381149973,"LINESTRING (-111.8789655 40.7841229, -111.8792579 40.7841209)",,,,,,,C
83539921,83539923,0,10127212,residential,2,20 mph,Capitol Park Avenue,False,False,55.324272446982604,55.324272446982604,1.491965309287444,0.0009850180598360249,"LINESTRING (-111.8789655 40.7841229, -111.8789601 40.7843626, -111.8789333 40.7844337, -111.8788609 40.784523, -111.8787912 40.7845819)",,,,,,,C
83539921,83571803,0,"[10127212, 10149694]",residential,2,20 mph,"['Capitol Park Avenue', 'Penny Parade Drive']",False,True,413.3802646727012,413.3802646727012,1.5372516956407507,0.001199595589017075,"LINESTRING (-111.8789655 40.7841229, -111.8789548 40.7839422, -111.8789762 40.783863, -111.8789908 40.7838416, -111.8790218 40.783796, -111.8790889 40.7837371, -111.8792069 40.7836883, -111.8793142 40.783668, -111.8794617 40.7836863, -111.8798453 40.7837696, -111.8799552 40.7837716, -111.8800572 40.7837472, -111.8801618 40.7836944, -111.8807977 40.7830411, -111.8808236 40.7830073, -111.8808426 40.782971, -111.8808543 40.7829316, -111.8808579 40.7828908, -111.8808496 40.7828462, -111.8808293 40.7828034, -111.8807979 40.7827646, -111.8807567 40.7827315, -111.8807114 40.7827071, -111.8806608 40.7826897, -111.8806068 40.7826798, -111.8805513 40.7826778, -111.8804225 40.7826741, -111.8791683 40.7826702, -111.8790701 40.7826691)",,,,,,,C
83539923,3356136051,0,10127212,residential,2,20 mph,Capitol Park Avenue,False,False,53.332028356217485,53.332028356217485,1.7674945153290607,0.0007801061851225895,"LINESTRING (-111.8787912 40.7845819, -111.878649 40.7846043, -111.8781608 40.7846043)",,,,,,,C
83539923,83539921,0,10127212,residential,2,20 mph,Capitol Park Avenue,False,True,55.324272446982604,55.324272446982604,1.4919653092874436,0.0009857210165245787,"LINESTRING (-111.8787912 40.7845819, -111.8788609 40.784523, -111.8789333 40.7844337, -111.8789601 40.7843626, -111.8789655 40.7841229)",,,,,,,C
83539923,83639233,0,10138528,residential,2,20 mph,Charity Cove,False,False,63.46657688848444,63.46657688848445,1.2742121668546942,0.00029638411381149973,"LINESTRING (-111.8787912 40.7845819, -111.8789521 40.7847809, -111.8790406 40.7848033, -111.8791667 40.7848216, -111.8793906 40.7848181)",,,,,,,C
83539927,3356136051,0,10127212,residential,2,20 mph,Capitol Park Avenue,False,True,8.590854258452136,8.590854258452136,0.8520736516285787,0.0006788804219708411,"LINESTRING (-111.8780589 40.7846083, -111.8781608 40.7846043)",,,,,,,C
83539927,3356136051,1,10138305,residential,1,20 mph,Caring Cove,True,False,135.38198856909344,,,0.0,"LINESTRING (-111.8780589 40.7846083, -111.8780562 40.784984, -111.8780696 40.7850368, -111.8781206 40.7850754, -111.878185 40.785112, -111.8782413 40.7851303, -111.878295 40.7851262, -111.8783218 40.7850957, -111.8783218 40.7850571, -111.8782762 40.7850267, -111.8782225 40.7850064, -111.8781823 40.78498, -111.8781635 40.7849414, -111.8781608 40.7846043)",,,,,,,C
83539927,83539931,0,10127212,residential,2,20 mph,Capitol Park Avenue,False,False,181.16013797145706,181.16013797145706,1.9481388343083226,0.0005760730062698465,"LINESTRING (-111.8780589 40.7846083, -111.8774715 40.78459, -111.8773311 40.7845657, -111.8771595 40.7845007, -111.8765828 40.784196, -111.8765023 40.7841636, -111.8764031 40.7841473, -111.8760711 40.7841492)",,,,,,,C
83539931,83608948,0,683763228,residential,2,20 mph,13th Avenue,False,False,127.10803096710204,127.10803096710204,1.8661683260532052,0.000837836503170071,"LINESTRING (-111.8760711 40.7841492, -111.8745614 40.7841488)",,,,,,,C
83539931,83539927,0,10127212,residential,2,20 mph,Capitol Park Avenue,False,True,181.16013797145706,181.16013797145706,1.9481388343083235,0.0005767759629584003,"LINESTRING (-111.8760711 40.7841492, -111.8764031 40.7841473, -111.8765023 40.7841636, -111.8765828 40.784196, -111.8771595 40.7845007, -111.8773311 40.7845657, -111.8774715 40.78459, -111.8780589 40.7846083)",,,,,,,C
83539931,389371923,0,1085192941,residential,2,20 mph,F Street,False,False,119.83685093229569,119.83685093229569,1.544945309259554,0.00029638411381149973,"LINESTRING (-111.8760711 40.7841492, -111.8760757 40.7850912, -111.876136 40.785219)",,,,,,,C
