u,v,key,osmid,name,highway,oneway,reversed,length,Cost of returning,Edge Betweenness,geometry,lanes,maxspeed,bridge,ref,access,tunnel,junction
122378552,122439996,0,13263826,South Green Street,residential,False,True,202.822,1.8029897465298406,0.00026569221975027255,"LINESTRING (-97.306252 37.675445, -97.306263 37.677269)",,,,,,,
122378556,122378558,0,13254853,East Gilbert Street,residential,False,False,113.007,1.7857466418697248,0.004325669805146933,"LINESTRING (-97.301424 37.675474, -97.300816 37.6754778, -97.30014 37.675482)",,,,,,,
122378556,122186359,0,13254853,East Gilbert Street,residential,False,True,100.42099999999999,1.6327856131615923,0.0009277437733379528,"LINESTRING (-97.301424 37.675474, -97.3019662 37.6754711, -97.302565 37.675468)",,,,,,,
122378556,122443012,0,13264071,South Chautauqua Street,residential,False,False,202.50400000000002,1.725826621799929,0.00040761747874208025,"LINESTRING (-97.301424 37.675474, -97.301348 37.675403, -97.301324 37.673675)",,,,,,,
122378556,122442996,0,13264071,South Chautauqua Street,residential,False,True,204.603,1.9617615540259044,0.0006733096984923528,"LINESTRING (-97.301424 37.675474, -97.301472 37.675519, -97.301496 37.676883, -97.301499 37.6773)",,,,,,,
122378558,122378567,0,13254853,East Gilbert Street,residential,False,False,110.658,1.7897206541341946,0.004213669421643675,"LINESTRING (-97.30014 37.675482, -97.298996 37.675488, -97.2988834 37.6754981)",,,,,,,
122378558,122378556,0,13254853,East Gilbert Street,residential,False,True,113.007,1.7857466418697234,0.0010229658892736027,"LINESTRING (-97.30014 37.675482, -97.300816 37.6754778, -97.301424 37.675474)",,,,,,,
122378558,122454295,0,13265102,South Lorraine Street,residential,False,False,200.775,1.7008620478589576,9.355155249818235e-05,"LINESTRING (-97.30014 37.675482, -97.300112 37.67543, -97.30009 37.673681)",,,,,,,
122378558,122454285,0,13265102,South Lorraine Street,residential,False,True,203.578,1.7234411353966577,0.00010735185915552293,"LINESTRING (-97.30014 37.675482, -97.300168 37.675532, -97.300176 37.6760599, -97.3001781 37.6761995, -97.300195 37.677308)",,,,,,,
122378567,122513712,0,94650498,South Hillside Street,secondary,False,True,54.488,1.7300333633021199,0.019211043731719134,"LINESTRING (-97.2988834 37.6754981, -97.2988774 37.6759881)",4,,,,,,
122378567,122211936,0,13254853,East Gilbert Street,residential,False,False,102.087,1.8065365591017382,0.007349607526541985,"LINESTRING (-97.2988834 37.6754981, -97.298742 37.675508, -97.2983712 37.6755087, -97.297724 37.67551)",,,,,,,
122378567,122378558,0,13254853,East Gilbert Street,residential,False,True,110.658,1.7897206541341946,0.0007457976250398575,"LINESTRING (-97.2988834 37.6754981, -97.298996 37.675488, -97.30014 37.675482)",,,,,,,
122378567,122513719,0,94650498,South Hillside Street,secondary,False,False,201.401,1.715237327824849,0.017344733839296154,"LINESTRING (-97.2988834 37.6754981, -97.2988708 37.6746979, -97.2988652 37.6743392, -97.298862 37.6741312, -97.2988599 37.6739978, -97.298855 37.673687)",4,,,,,,
122378570,122545893,0,13277492,South Vassar Street,residential,False,True,139.445,1.5164815921488557,0.00026946914578280785,"LINESTRING (-97.295432 37.675529, -97.2954474 37.676783)",,,,,,,
122378570,122378574,0,13254853,East Gilbert Street,residential,False,False,100.686,1.6848713161964652,0.006600105608662525,"LINESTRING (-97.295432 37.675529, -97.294948 37.675533, -97.294288 37.67553)",,,,,,,
122378570,122322154,0,13254853,East Gilbert Street,residential,False,True,101.30199999999999,1.7710084149384757,0.006157333664540693,"LINESTRING (-97.295432 37.675529, -97.296015 37.6755249, -97.296583 37.675521)",,,,,,,
122378570,122533602,0,13277492,South Vassar Street,residential,False,False,201.82299999999998,1.7358295115222353,1.8594097390943077e-05,"LINESTRING (-97.295432 37.675529, -97.295423 37.674711, -97.295419 37.673714)",,,,,,,
122378574,122378785,0,13269940,South Clifton Avenue,residential,False,False,95.072,1.5137022322374336,0.004532529138621175,"LINESTRING (-97.294288 37.67553, -97.294291 37.674675)",,,,,,,
122378574,122378570,0,13254853,East Gilbert Street,residential,False,True,100.686,1.6848713161964641,0.005651661375338561,"LINESTRING (-97.294288 37.67553, -97.294948 37.675533, -97.295432 37.675529)",,,,,,,
122378574,122238212,0,13269940,South Clifton Avenue,residential,False,True,171.45299999999997,1.5151617551606613,0.002024795519403594,"LINESTRING (-97.294288 37.67553, -97.294297 37.676361, -97.294228 37.676609, -97.294053 37.676717, -97.293699 37.676742)",,,,,,,
122378593,122130825,0,13254854,East Gilbert Street,residential,False,False,101.3,1.6528899184586308,0.011112733252419956,"LINESTRING (-97.323503 37.674441, -97.322352 37.67444)",,,,,,,
122378593,122487511,0,13269589,South Laura Street,residential,False,False,129.542,1.6133665161025335,0.000410304906880615,"LINESTRING (-97.323503 37.674441, -97.323504 37.673276)",,,,,,,
122378593,122378672,0,13269589,South Laura Street,residential,False,True,27.911,1.5780870031794496,0.014453932760547974,"LINESTRING (-97.323503 37.674441, -97.323505 37.674692)",,,,,,,
122378594,122296424,0,13254854,East Gilbert Street,residential,False,False,146.631,1.8566888177377694,0.010301638386932998,"LINESTRING (-97.321222 37.674448, -97.319556 37.674459)",,,,,,,
122378594,122130825,0,13254854,East Gilbert Street,residential,False,True,99.456,1.716218576920435,0.014410498111173817,"LINESTRING (-97.321222 37.674448, -97.322352 37.67444)",,,,,,,
122378594,122419697,0,13260474,Lulu Street,residential,False,False,128.396,1.7270260294743305,0.0006649568813050152,"LINESTRING (-97.321222 37.674448, -97.321195 37.674364, -97.321201 37.673296)",,,,,,,
